time,hr
-573802.829,84
-573385.829,77
-573320.829,75
-572814.4542,94
-572673.454,105
-572286.0804,91
-571922.7043,94
-571736.7048,103
-571474.7049,90
-570551.2977,125
-570307.2237,134
-569830.7868,81
-569530.9117,86
-569444.4119,88
-569086.037,86
-568569.0386,87
-568251.1637,80
-567951.6658,82
-567766.2891,89
-567382.7892,83
-567312.2893,93
-566897.9159,81
-566607.5395,87
-566341.5395,85
-565869.5239,84
-565657.6489,78
-565365.6489,84
-565067.5398,69
-564793.0395,81
-564446.6616,86
-564339.6615,83
-563880.7995,88
-563542.786,86
-563240.4102,82
-563039.9096,84
-562733.4091,80
-562267.0338,78
-562144.0338,79
-561922.6584,84
-561349.285,77
-561242.2831,79
-560979.2824,77
-560454.9128,84
-560173.5395,82
-560091.5393,78
-559547.6645,78
-559295.1647,87
-559000.7898,77
-558878.7898,86
-558404.9135,79
-558191.9131,82
-557945.9133,76
-557671.0382,77
-557218.6641,77
-556923.6632,78
-556815.6629,76
-556530.2946,73
-556138.7881,75
-555935.9128,75
-555430.5452,76
-555121.5373,80
-554794.1652,73
-554501.6627,82
-554193.7894,76
-554102.2874,82
-553812.7871,78
-553367.911,79
-553140.4117,75
-552789.5359,74
-552373.1608,71
-552224.1605,73
-551838.7912,77
-551618.7014,102
-550982.6358,104
-550700.5106,95
-550631.5736,96
-550269.8986,91
-549452.023,89
-549161.0274,77
-548789.1493,91
-548459.2742,81
-548172.2756,79
-547917.7661,80
-547824.7663,80
-547539.7665,80
-547083.391,76
-546894.8931,78
-546594.5163,79
-546347.0176,78
-546040.6415,79
-545499.2663,78
-545227.7666,76
-544890.8916,75
-544817.8916,75
-544331.5158,76
-544246.5158,74
-543886.5157,77
-543557.6408,75
-543300.1403,75
-542818.7658,73
-542730.2661,74
-542389.3943,74
-541824.5188,73
-541464.6523,78
-541172.1605,82
-540689.2752,78
-540621.7692,81
-540313.2672,80
-539890.8918,86
-539601.5165,91
-539158.0184,86
-538929.1419,85
-538672.1451,87
-538534.158,87
-538023.7728,83
-537880.7662,81
-537646.3909,80
-537080.844,79
-536810.8513,76
-536567.9698,81
-536381.969,101
-535482.4876,92
-534680.7366,101
-533495.4015,99
-531711.4953,99
-531598.1143,98
-531187.1164,98
-530872.2402,94
-530578.2397,96
-530387.3669,93
-530125.8656,92
-529828.3648,93
-529294.9898,82
-528828.6148,79
-528199.7516,88
-527803.8669,88
-527153.9897,91
-526930.49,91
-526825.4903,87
-524868.3732,83
-524693.8676,82
-524010.9939,78
-487904.6194,96
-487550.6156,80
-487247.6163,76
-487015.2405,77
-486906.7407,73
-486478.7494,75
-486188.7451,76
-486016.8704,71
-485631.8843,93
-485254.9972,96
-485108.9958,92
-484830.1208,98
-483965.3035,120
-483712.9034,129
-483544.8468,135
-483400.4099,94
-483049.9097,91
-482893.5347,88
-482534.0348,88
-482170.6616,81
-482106.6619,80
-481844.6622,79
-481314.2876,87
-481208.2876,90
-480851.9132,88
-480439.5378,89
-480157.0398,81
-480041.538,79
-479592.1631,85
-479188.7882,82
-479090.288,81
-478657.913,78
-478283.4172,79
-478056.9158,75
-477901.9163,74
-477641.5407,79
-477151.0449,81
-476905.5477,77
-476663.1704,79
-476392.1793,82
-476098.3043,84
-475811.7927,80
-475349.4172,76
-475232.4169,75
-474890.5421,77
-474461.5419,78
-474345.167,79
-473790.7916,77
-473462.2915,78
-473218.2928,85
-473037.4191,78
-472712.4215,83
-472270.545,74
-472075.5447,75
-471873.17,78
-471427.6709,73
-471141.8008,73
-470934.2994,73
-470727.9259,75
-470281.9271,74
-470081.5532,73
-469680.6106,78
-469457.1082,80
-469089.2309,77
-468848.7308,75
-468484.8581,71
-468292.3558,77
-467961.4801,78
-467534.1054,80
-467290.1052,83
-467090.106,74
-466751.2326,77
-466473.732,71
-466082.3554,79
-465739.4804,75
-465510.4795,75
-465117.8855,75
-465029.8854,75
-464644.0106,75
-464408.0102,72
-463991.9123,72
-463634.9128,74
-463328.0383,75
-463232.5383,78
-462802.1609,74
-462505.1617,73
-462251.7846,71
-461969.7876,69
-461740.9124,73
-461212.0418,78
-461105.0419,63
-460556.1678,68
-459964.1983,90
-459772.2824,81
-459578.6679,96
-459292.1458,90
-458916.6803,102
-458683.1322,103
-457828.2266,104
-457478.2988,89
-456535.5721,78
-456070.9866,115
-455893.4543,119
-455685.9245,122
-454852.6797,99
-453624.2351,97
-452773.36,93
-452243.4827,96
-451536.6127,93
-448616.2364,77
-448334.8634,82
-448079.8643,82
-447812.4882,86
-447374.4877,84
-447250.6143,89
-446867.1125,81
-446461.2371,85
-446345.7393,86
-446050.8674,86
-445822.3654,75
-445415.4908,93
-445035.9917,96
-444795.1158,85
-444502.6165,92
-444320.6185,89
-443562.3672,113
-442855.9935,99
-442634.4958,107
-442142.6182,97
-441188.8686,97
-440752.3745,98
-440685.4954,105
-440203.4957,100
-439921.6188,98
-439663.0089,93
-394278.1385,80
-394086.6435,74
-393821.5367,74
-393592.5414,73
-393186.029,74
-393040.029,76
-392614.6541,76
-392404.6544,76
-392103.2803,76
-391788.2798,74
-391480.9075,74
-391191.9075,75
-390725.53,73
-390439.155,71
-390339.155,73
-389767.2811,75
-389642.78,77
-389266.2803,74
-389141.4054,75
-388566.0324,75
-388425.0304,76
-388197.5304,74
-387939.1559,74
-387588.1593,72
-387131.2807,73
-386838.4111,74
-386518.9078,83
-386430.9078,79
-386025.5304,77
-385792.5302,72
-385362.1553,69
-385083.1556,70
-384676.2825,75
-384560.2812,72
-384050.4062,69
-383849.0312,69
-383689.031,69
-383359.0311,68
-383127.6563,69
-382577.7811,73
-382268.282,75
-382054.9076,73
-381945.9094,74
-381613.9068,73
-381099.0351,77
-380837.157,77
-380664.6571,73
-380158.782,81
-380052.7823,77
-379594.4073,77
-379327.4084,75
-379172.4084,77
-378911.8236,75
-378645.8124,79
-378180.435,78
-378000.4419,75
-377504.0614,76
-377164.1869,76
-377096.6867,75
-376838.6857,77
-376335.3108,76
-376043.9356,80
-375420.062,82
-375304.5615,73
-374972.5607,75
-374737.1858,75
-374422.186,71
-373894.3112,83
-373655.436,76
-373469.4359,73
-373178.9359,74
-372720.0611,75
-372451.6862,76
-372266.6866,77
-371928.6859,81
-371660.3115,76
-371430.3115,72
-371092.4364,73
-370748.9421,71
-370475.0612,72
-369959.6866,94
-369761.1864,84
-369279.8117,96
-368465.9379,83
-368384.4372,81
-367945.0616,77
-367642.6865,79
-367469.6878,79
-367084.6907,83
-366728.3126,81
-366494.313,83
-366280.9376,84
-365972.94,88
-365654.0624,87
-365438.0632,83
-365102.6882,82
-364799.1896,84
-364253.6844,84
-364118.6844,89
-363724.3199,86
-363562.8094,81
-363069.4345,84
-362970.9346,86
-362519.5599,84
-362351.0598,83
-361928.1845,82
-361663.1842,83
-361536.8094,83
-361236.8092,82
-360930.4346,84
-360637.4346,87
-360303.0602,81
-308822.2594,71
-308634.2595,72
-308415.7652,72
-308007.8848,71
-307725.8923,73
-307335.3923,80
-307199.5172,76
-306938.5171,89
-306627.6422,91
-305840.3823,92
-305460.3826,95
-305359.0075,98
-304941.5073,84
-304840.0078,123
-304369.133,86
-304144.258,88
-303737.2511,85
-303588.7506,80
-303277.8755,80
-302771.2711,85
-302557.7705,88
-302421.2707,91
-301801.0673,89
-301475.0673,89
-300977.6923,90
-300883.1921,94
-300448.3173,89
-300236.338,86
-299751.9454,92
-299480.0678,88
-299404.068,89
-299048.5719,86
-298673.1929,87
-298316.318,85
-298051.8181,89
-297774.8236,84
-297515.4434,84
-297231.443,89
-296748.0683,86
-296680.0683,84
-296408.1944,86
-296115.1935,88
-295611.3186,83
-295418.3185,84
-295165.9436,79
-294932.9458,85
-294633.5686,85
-294137.1943,85
-294016.1944,81
-293731.6945,86
-293219.8196,80
-292849.4447,85
-292729.4444,86
-292303.5698,81
-292081.9611,81
-291885.9604,77
-291616.0855,82
-291231.5856,83
-290763.1518,83
-290558.6522,80
-290353.6523,81
-289904.7772,86
-289592.9022,77
-289481.903,79
-289114.4021,81
-288845.5273,77
-288509.0274,75
-288291.1566,78
-288037.1526,78
-287536.2547,79
-287371.7562,75
-287081.1941,122
-286609.0508,119
-286411.9723,135
-286241.8469,139
-285894.4102,87
-285465.5421,85
-285052.5336,81
-284914.657,79
-284559.1571,78
-284438.157,81
-284143.2817,78
-283584.9069,91
-283308.9076,84
-283118.5321,86
-282855.5341,86
-282620.5318,91
-282251.1572,94
-281786.2824,93
-281573.7822,90
-281339.4072,84
-281062.4074,80
-280635.0323,80
-280475.0323,78
-280220.0322,78
-279767.1583,78
-279502.2834,77
-279181.2834,78
-278971.9084,79
-278199.0332,104
-277878.0331,111
-277642.6228,131
-277418.6854,93
-277146.6865,89
-276698.573,88
-276551.5731,88
-276202.206,87
-275997.1981,86
-275732.823,89
-275339.8236,89
-274959.4485,91
-274649.5734,91
-274478.0737,88
-273949.1995,88
-273696.6995,88
-273587.6992,88
-273260.324,92
-272784.949,88
-268838.3939,105
-268498.3066,109
-268252.8695,87
-268089.371,87
-267725.4941,81
-267474.9945,88
-267235.6196,91
-266539.5959,85
-266262.5962,82
-265966.2212,81
-265656.2216,80
-265341.3467,88
-265039.8463,82
-264903.4713,82
-264399.9715,82
-264169.0965,84
-264020.0967,85
-263738.7218,84
-263298.2203,81
-218756.5897,79
-218490.5897,72
-218192.9378,72
-218112.9372,72
-217757.9378,73
-217546.5628,76
-217057.5625,91
-216711.1876,76
-216453.1874,74
-216299.3156,76
-215884.8137,93
-215498.9406,81
-215384.938,75
